,image_path,face_detection,feature_extraction,state_classification,decision,pipeline_success,true_label
0,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1350.jpg_face_2.jpg,"{'success': True, 'confidence': 0.5888115763664246}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9823241233825684, 'confidence_right': 0.9920918941497803, 'confidence_mouth': 0.9999163150787354}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9872080087661743, 'success': True}",True,1
1,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2634.jpg_face_1.jpg,"{'success': True, 'confidence': 0.7618611454963684}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9881948232650757, 'confidence_right': 0.9704536199569702, 'confidence_mouth': 0.968669056892395}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.979324221611023, 'success': True}",True,1
2,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1519.jpg_face_2.jpg,"{'success': True, 'confidence': 0.7860413193702698}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9848804473876953, 'confidence_right': 0.9971219897270203, 'confidence_mouth': 0.9999393224716187}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9910012185573578, 'success': True}",True,1
3,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2311.BMP_face_1.jpg,"{'success': False, 'confidence': 0.0}",{'success': False},"{'left_eye_state': None, 'right_eye_state': None, 'mouth_state': None, 'confidence_left': 0.0, 'confidence_right': 0.0, 'confidence_mouth': 0.0}","{'is_drowsy': None, 'eye_status': None, 'yawn_status': None, 'confidence': 0.0, 'success': False}",False,1
4,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_0160.jpg_face_1.jpg,"{'success': True, 'confidence': 0.7728642225265503}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 1.0, 'confidence_right': 0.9999992847442627, 'confidence_mouth': 1.0}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9999996423721313, 'success': True}",True,1
5,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1640.jpg_face_1.jpg,"{'success': True, 'confidence': 0.815652072429657}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9867393970489502, 'confidence_right': 0.9906138181686401, 'confidence_mouth': 0.522659420967102}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9886766076087952, 'success': True}",True,1
6,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_0231.jpg_face_3.jpg,"{'success': True, 'confidence': 0.7022352814674377}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 1, 'confidence_left': 0.9958052635192871, 'confidence_right': 0.9990049004554749, 'confidence_mouth': 0.9998620748519897}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': True, 'confidence': 0.9983878791332245, 'success': True}",True,1
7,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2179.jpg_face_2.jpg,"{'success': True, 'confidence': 0.7678146362304688}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9702780842781067, 'confidence_right': 0.9797143340110779, 'confidence_mouth': 0.9999949932098389}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9749962091445923, 'success': True}",True,1
8,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2336.jpg_face_1.jpg,"{'success': True, 'confidence': 0.9200403690338135}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.508831799030304, 'confidence_right': 0.9760708808898926, 'confidence_mouth': 0.9999997615814209}","{'is_drowsy': False, 'eye_status': False, 'yawn_status': False, 'confidence': 0.0, 'success': False}",True,1
9,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1493.jpg_face_1.jpg,"{'success': True, 'confidence': 0.8309716582298279}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.8532312512397766, 'confidence_right': 0.551213264465332, 'confidence_mouth': 0.9999526739120483}","{'is_drowsy': False, 'eye_status': False, 'yawn_status': False, 'confidence': 0.0, 'success': False}",True,1
10,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2737.jpg_face_1.jpg,"{'success': True, 'confidence': 0.8390135169029236}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.999795138835907, 'confidence_right': 0.999632716178894, 'confidence_mouth': 1.0}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9997139275074005, 'success': True}",True,1
11,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1362.BMP_face_2.jpg,"{'success': True, 'confidence': 0.827852189540863}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9983515739440918, 'confidence_right': 0.9931995272636414, 'confidence_mouth': 0.9998072981834412}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9957755506038666, 'success': True}",True,1
12,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2847.jpg_face_2.jpg,"{'success': True, 'confidence': 0.7492773532867432}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9998102784156799, 'confidence_right': 0.9999959468841553, 'confidence_mouth': 1.0}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9999031126499176, 'success': True}",True,1
13,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1756.jpg_face_1.jpg,"{'success': True, 'confidence': 0.9219715595245361}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.999935507774353, 'confidence_right': 0.9999957084655762, 'confidence_mouth': 0.988649845123291}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9999656081199646, 'success': True}",True,1
14,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1357.jpg_face_1.jpg,"{'success': True, 'confidence': 0.8062029480934143}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9547947645187378, 'confidence_right': 0.9972265362739563, 'confidence_mouth': 0.9999996423721313}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.976010650396347, 'success': True}",True,1
15,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_0573.jpg_face_2.jpg,"{'success': True, 'confidence': 0.8155428767204285}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.994658887386322, 'confidence_right': 0.9994198083877563, 'confidence_mouth': 0.999606192111969}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9970393478870392, 'success': True}",True,1
16,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2019.jpg_face_1.jpg,"{'success': True, 'confidence': 0.7922967076301575}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 1, 'confidence_left': 0.7211881875991821, 'confidence_right': 0.5792587399482727, 'confidence_mouth': 0.9959898591041565}","{'is_drowsy': True, 'eye_status': False, 'yawn_status': True, 'confidence': 0.9959898591041565, 'success': True}",True,1
17,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_1321.jpg_face_2.jpg,"{'success': True, 'confidence': 0.8168036937713623}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.994813084602356, 'confidence_right': 0.9010114669799805, 'confidence_mouth': 0.9999994039535522}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9479122757911682, 'success': True}",True,1
18,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_0505.jpg_face_1.jpg,"{'success': True, 'confidence': 0.6721655130386353}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9999998807907104, 'confidence_right': 0.9999998807907104, 'confidence_mouth': 0.9999972581863403}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9999998807907104, 'success': True}",True,1
19,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_0035.BMP_face_1.jpg,"{'success': True, 'confidence': 0.7128763198852539}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9999892711639404, 'confidence_right': 0.9999903440475464, 'confidence_mouth': 0.9940770864486694}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9999898076057434, 'success': True}",True,1
20,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2251.jpg_face_1.jpg,"{'success': True, 'confidence': 0.8732510209083557}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9981052875518799, 'confidence_right': 0.9811903238296509, 'confidence_mouth': 0.9934657216072083}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9896478056907654, 'success': True}",True,1
21,/Users/ahmedalkhulayfi/Downloads/dataset_B_FacialImages_highResolution/drowsy/closed_eye_2128.BMP_face_1.jpg,"{'success': True, 'confidence': 0.85067218542099}",{'success': True},"{'left_eye_state': 0, 'right_eye_state': 0, 'mouth_state': 0, 'confidence_left': 0.9976035952568054, 'confidence_right': 0.9994640946388245, 'confidence_mouth': 0.9998249411582947}","{'is_drowsy': True, 'eye_status': True, 'yawn_status': False, 'confidence': 0.9985338449478149, 'success': True}",True,1
